,Title,Brand,Model,Year,Price,Condition,Type,Engine_Size,Fuel_Type,Transmission,Mileage,Color,Additional
554,Mercedes-Benz CL 63 AMG,Mercedes-Benz,CL 63 AMG,2008,9500000,Б/у,купе,6.3,бензин,КПП автомат,166000,черный,"люк, панорамная крыша, линзованная оптик..."
556,Nissan Pathfinder,Nissan,Pathfinder,2022,18895000,Б/у,внедорожник,3.5,бензин,КПП автомат,10768,серый,"Город Алматы, ТРЦ FORUM, этаж P2, у..."
559,Ford Explorer,Ford,Explorer,2013,10400000,Б/у,внедорожник,3.5,бензин,КПП автомат,156000,черный,"литые диски, тонировка, ветровики..."
560,Toyota Camry,Toyota,Camry,2021,16900000,Б/у,седан,2.5,бензин,КПП автомат,69000,черный,"металлик, тонировка, хрустальная оптика,..."
562,Hyundai Accent,Hyundai,Accent,2014,5300000,Б/у,седан,1.6,бензин,КПП автомат,115000,серебристый,"тонировка, дневные ходовые огни, в..."
565,Toyota Fortuner,Toyota,Fortuner,2022,18500000,Б/у,внедорожник,2.7,бензин,КПП автомат,36000,белый,"металлик, литые диски, линзованная..."
566,Audi A6,Audi,A6,2001,3950000,Б/у,седан,2.8,газ-бензин,КПП автомат,209000,черный,"металлик, литые диски, тонировка, л..."
567,Chevrolet Aveo,Chevrolet,Aveo,2014,4200000,Б/у,седан,1.6,бензин,КПП автомат,135000,белый,"литые диски, тонировка, спойлер, ветрови..."
568,Nissan Patrol,Nissan,Patrol,2010,19000000,Б/у,внедорожник,5.6,бензин,КПП автомат,18000,белый,"металлик, литые диски, тонировка, л..."
569,Volkswagen Touran,Volkswagen,Touran,2005,3000000,Б/у,минивэн,1.9,дизель,КПП механика,330000,серебристый,"фаркоп, омыватель фар, корректо..."
575,Daewoo Nexia,Daewoo,Nexia,2012,1750000,Б/у,седан,1.6,бензин,КПП механика,290000,жёлтый,"металлик, тонировка, ветровики, багажн..."
576,Toyota Camry,Toyota,Camry,2020,14800000,Б/у,седан,2.5,бензин,КПП автомат,91252,белый,"алькантара, кондиционер, Бағасы түпкілікт..."
577,Hyundai Santa Fe,Hyundai,Santa Fe,2013,9290000,Б/у,кроссовер,2.4,бензин,КПП автомат,175000,черный,"""Hyundai Taraz"" рады Вам предложить..."
580,BMW X6 M,BMW,X6 M,2022,59995000,Б/у,кроссовер,4.4,бензин,КПП автомат,25822,черный,"Город Алматы, ТРЦ FORUM, этаж Р2, ул..."
585,Chevrolet Camaro,Chevrolet,Camaro,2013,13000000,Б/у,купе,3.6,бензин,КПП автомат,200000,черный,"литые диски, хрустальная оптика, ГУР, AB..."
587,BMW 525,BMW,525,1994,1200000,Б/у,седан,2.5,бензин,КПП механика,323000,белый,"литые диски, панорамная крыша, биксенон..."
595,Volkswagen Passat,Volkswagen,Passat,2003,2600000,Б/у,универсал,1.9,дизель,КПП автомат,400000,синий,"металлик, литые диски, тонировка, ве..."
597,Hyundai Accent,Hyundai,Accent,2022,8000000,Б/у,седан,1.4,бензин,КПП автомат,33000,белый,"велюр, Машина в отличном состоянии, пробе..."
598,Toyota Hilux,Toyota,Hilux,2008,9000000,Б/у,пикап,2.7,бензин,КПП автомат,629000,белый,"литые диски, тонировка, фаркоп, ГУР, ABS..."
599,Toyota Land Cruiser,Toyota,Land Cruiser,2021,50000000,Б/у,внедорожник,3.5,бензин,КПП автомат,76000,черный,"АРАБ! 3, 5 объем, черный на черном..."
600,Chevrolet Tracker,Chevrolet,Tracker,2014,4700000,Б/у,кроссовер,1.8,бензин,КПП автомат,190000,белый,"литые диски, тонировка, ветровики, л..."
601,Toyota Camry,Toyota,Camry,2016,13000000,Б/у,седан,2.5,бензин,КПП автомат,200000,черный,"кожа, климат-контроль, Р4 Плотностью в..."
603,Hyundai Solaris,Hyundai,Solaris,2013,5200000,Б/у,седан,1.4,бензин,КПП автомат,108000,голубой,"металлик, велюр, аудиосистема, bluetoo..."
604,ВАЗ (Lada) Lada 2121,ВАЗ,(Lada) Lada 2121,2021,5380000,Б/у,внедорожник,1.7,бензин,КПП механика,8800,белый,"литые диски, дневные ходовые огни,..."
605,ВАЗ (Lada) Vesta,ВАЗ,(Lada) Vesta,2022,6100000,Б/у,седан,1.6,бензин,КПП вариатор,73875,коричневый,"металлик, литые диски, тонировка, л..."
607,Lexus GS 350,Lexus,GS 350,2020,27500000,Б/у,седан,3.5,бензин,КПП автомат,45000,черный,"металлик, литые диски, тонировка, панора..."
608,Volkswagen Polo,Volkswagen,Polo,2018,6200000,Б/у,седан,1.6,бензин,КПП автомат,210000,черный,"литые диски, тонировка, дневные ходовые..."
609,Toyota Camry,Toyota,Camry,2007,4400000,Б/у,седан,2.4,бензин,КПП автомат,183000,серебристый,"велюр, кондиционер, Срочно Торг у..."
612,Chevrolet Cruze,Chevrolet,Cruze,2010,3400000,Б/у,седан,1.8,бензин,КПП автомат,246000,серый,"кондиционер, Круз в отличном состояние В..."
614,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2023,30800000,Б/у,внедорожник,2.7,бензин,КПП автомат,10000,белый,"литые диски, тонировка, спойлер, ве..."
615,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2021,25390000,Б/у,внедорожник,2.7,бензин,КПП автомат,62405,белый,Код Товара: 337353 Toyota Land Crui...
619,Hyundai Santa Fe,Hyundai,Santa Fe,2023,22500000,Б/у,кроссовер,3.5,бензин,КПП автомат,29500,черный,"металлик, литые диски, тонировка, па..."
622,Toyota Land Cruiser,Toyota,Land Cruiser,2007,18000000,Б/у,внедорожник,4.7,бензин,КПП автомат,248000,белый,"Состояния идеальная, газ нет и не..."
623,Volkswagen Atlas,Volkswagen,Atlas,2021,25000000,Б/у,внедорожник,3.6,бензин,КПП автомат,21000,черный,"литые диски, тонировка, люк, панор..."
627,Toyota Camry,Toyota,Camry,2011,7500000,Б/у,седан,2.5,бензин,КПП автомат,304101,белый,"металлик, люк, спойлер, ветровики, багаж..."
629,ВАЗ (Lada) Kalina 2194,ВАЗ,(Lada) Kalina 2194,2014,2200000,Б/у,универсал,1.6,бензин,КПП механика,313000,белый,"металлик, тонировка, дневные ходовы..."
630,Hyundai Santa Fe,Hyundai,Santa Fe,2023,18500000,Б/у,кроссовер,2.5,бензин,КПП автомат,14000,серый,"литые диски, рейлинги, хрустальная оп..."
634,Hyundai Grandeur,Hyundai,Grandeur,2023,19000000,Б/у,седан,2.5,бензин,КПП автомат,62000,белый,"металлик, литые диски, тонировка, кожа, к..."
635,Hyundai Santa Fe,Hyundai,Santa Fe,2023,17000000,Б/у,кроссовер,2.5,бензин,КПП автомат,31500,белый,"металлик, литые диски, тонировка, вет..."
636,Cadillac Escalade,Cadillac,Escalade,2022,69000000,Б/у,внедорожник,6.2,бензин,КПП автомат,11000,черный,Авто в идеальном состоянии.2 компл...
665,ВАЗ (Lada) 2110,ВАЗ,(Lada) 2110,2001,1000000,Б/у,седан,1.6,бензин,КПП механика,50000,серебристый,"тонировка, линзованная оптика, дне..."
669,Hyundai Solaris,Hyundai,Solaris,2018,6500000,Б/у,седан,1.4,бензин,КПП автомат,101000,бежевый,"металлик, Авто в отличном состоянии, н..."
670,Mercedes-Benz CLA 200,Mercedes-Benz,CLA 200,2015,11000000,Б/у,седан,1.6,бензин,КПП робот,160000,черный,"литые диски, тонировка, люк, панорамная к..."
673,Li L9,Li,L9,2024,32900000,Б/у,внедорожник,1.5,гибрид,КПП автомат,20,черный,"металлик, литые диски, тонировка, люк,..."
675,Subaru Outback,Subaru,Outback,2015,9500000,Б/у,универсал,2.5,бензин,КПП вариатор,72460,бронза,"металлик, литые диски, тонировка, р..."
676,Audi 80,Audi,80,1992,700000,Б/у,седан,2.3,бензин,КПП автомат,298000,зеленый,"На ходу, все работает четко. Кроме кор..."
677,Audi A6,Audi,A6,1998,2800000,Б/у,универсал,2.4,бензин,КПП механика,342000,зеленый,"металлик, линзованная оптика, дне..."
679,Mercedes-Benz E 350,Mercedes-Benz,E 350,2013,6500000,Б/у,седан,3.5,бензин,КПП автомат,175000,черный,"металлик, литые диски, тонировка, люк,..."
680,ВАЗ (Lada) Largus,ВАЗ,(Lada) Largus,2013,4200000,Б/у,универсал,1.6,бензин,КПП механика,135000,белый,"металлик, литые диски, bluetooth, U..."
688,Nissan Juke,Nissan,Juke,2014,5200000,Б/у,кроссовер,1.6,бензин,КПП вариатор,170000,белый,"тонировка, корректор фар, обогрев з..."
691,Skoda Octavia,Skoda,Octavia,2014,6500000,Б/у,лифтбек,1.4,бензин,КПП механика,161000,белый,"металлик, литые диски, тонировка, спо..."
693,Genesis GV80,Genesis,GV80,2021,30000000,Б/у,кроссовер,3.5,бензин,КПП автомат,48000,белый,"тонировка, люк, панорамная крыша, баг..."
694,BMW 550,BMW,550,2020,35000000,Б/у,седан,4.4,бензин,КПП автомат,38000,белый,"тонировка, люк, дневные ходовые огни, кож..."
695,Toyota Camry,Toyota,Camry,2022,15490000,Б/у,седан,2.5,бензин,КПП автомат,76000,белый,"металлик, тонировка, люк, панорамная крыш..."
698,SsangYong Tivoli,SsangYong,Tivoli,2020,7500000,Б/у,кроссовер,1.6,бензин,КПП автомат,34700,вишня,"металлик, литые диски, тонировка, вет..."
699,Chery Tiggo 7 Pro,Chery,Tiggo 7 Pro,2023,9700000,Б/у,кроссовер,1.5,бензин,КПП вариатор,16500,красный,"металлик, литые диски, тонировка,..."
701,Toyota Camry,Toyota,Camry,2014,5500000,Б/у,седан,3.5,бензин,КПП автомат,211000,черный,"металлик, литые диски, тонировка, ксено..."
702,Chevrolet Silverado,Chevrolet,Silverado,2022,29000000,Б/у,пикап,2.7,бензин,КПП автомат,48240,белый,"металлик, литые диски, тонировка, кенгуря..."
706,Toyota Sienna,Toyota,Sienna,2013,12000000,Б/у,минивэн,3.5,бензин,КПП автомат,191000,черный,"литые диски, тонировка, обвес, ветров..."
708,Hyundai Accent,Hyundai,Accent,2022,7850000,Б/у,седан,1.6,бензин,КПП автомат,61000,белый,"металлик, литые диски, тонировка, багажни..."
710,Lexus LX 570,Lexus,LX 570,2010,17500000,Б/у,внедорожник,5.7,бензин,КПП автомат,200000,серебристый,"металлик, литые диски, тонир..."
713,Hyundai Sonata,Hyundai,Sonata,2023,13500000,Б/у,седан,2.5,бензин,КПП автомат,30000,синий,"металлик, литые диски, тонировка, хрустал..."
714,ВАЗ (Lada) Vesta SW Cross,ВАЗ,(Lada) Vesta SW Cross,2020,6350000,Б/у,универсал,1.6,бензин,КПП вариатор,99000,белый,В отличном состоянии! Честный пробег...
717,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2015,3150000,Б/у,седан,1.6,бензин,КПП механика,130000,Родная краска,родной пробег 10 лет в одних ру...
720,Chrysler 300C,Chrysler,300C,2007,6900000,Б/у,седан,2.7,газ-бензин,КПП автомат,130000,серебристый,"металлик, литые диски, тониров..."
722,Kia Rio,Kia,Rio,2019,7500000,Б/у,седан,1.6,бензин,КПП автомат,95460,001261 Автоцентр — это простота,удобство и комф...
723,Hyundai Sonata,Hyundai,Sonata,2021,11990000,Б/у,седан,2.5,бензин,КПП автомат,90154,129015 Автоцентр — это простота,удобство и комф...
724,Ford Mustang,Ford,Mustang,2015,14500000,Б/у,купе,2.3,бензин,КПП автомат,80000,черный,"кожа, Полная комплектация акустика sheker..."
728,Lexus ES 250,Lexus,ES 250,2015,12800000,Б/у,седан,2.5,бензин,КПП автомат,123000,черный,"металлик, тонировка, люк, ветровики, кс..."
730,Lexus GX 460,Lexus,GX 460,2020,34000000,Б/у,внедорожник,4.6,бензин,КПП автомат,60000,белый,"металлик, литые диски, тонировка, л..."
738,Hyundai Santa Fe,Hyundai,Santa Fe,2022,14300000,Б/у,кроссовер,2.5,бензин,КПП автомат,31900,черный,"металлик, литые диски, тонировка, ре..."
739,Jetour X70 Plus,Jetour,X70 Plus,2023,11500000,Б/у,кроссовер,1.5,бензин,КПП робот,25000,белый,"литые диски, люк, панорамная крыша, рей..."
740,Toyota Hilux,Toyota,Hilux,2020,22000000,Б/у,пикап,2.7,бензин,КПП автомат,80000,белый,"металлик, литые диски, тонировка, ветрови..."
742,SsangYong Rexton,SsangYong,Rexton,2002,3600000,Б/у,внедорожник,2.9,дизель,КПП автомат,275000,черный,"литые диски, тонировка, кенгурятн..."
743,Hyundai Grandeur,Hyundai,Grandeur,2023,27000000,Б/у,седан,3.5,бензин,КПП автомат,25000,серый,"металлик, литые диски, тонировка, люк, па..."
744,Opel Vectra,Opel,Vectra,1997,950000,Б/у,хэтчбек,1.8,бензин,КПП механика,289000,вишня,"металлик, литые диски, тонировка, вет..."
745,Toyota Camry,Toyota,Camry,2008,5600000,Б/у,седан,2.4,бензин,КПП автомат,321800,черный,"металлик, ксенон, биксенон, хрустальная..."
759,Toyota Land Cruiser,Toyota,Land Cruiser,2020,42000000,Б/у,внедорожник,4.6,бензин,КПП автомат,71000,черный,"металлик, Самая полная комплектаци..."
777,Mercedes-Benz S 500,Mercedes-Benz,S 500,2007,4500000,Б/у,седан,5.5,бензин,КПП автомат,222222,черный,"литые диски, тонировка, люк, обвес, ксе..."
779,Lexus NX 450h+,Lexus,NX 450h+,2022,34000000,Б/у,кроссовер,2.5,гибрид,КПП вариатор,15000,оранжевый,"металлик, Lexus NX450h + (PLUGin..."
780,Toyota Camry,Toyota,Camry,2014,9500000,Б/у,седан,2.5,бензин,КПП автомат,217,белый,"Эта Toyota Camry — идеальный выбор для тех,..."
781,Porsche Cayenne,Porsche,Cayenne,2007,9800000,Б/у,кроссовер,4.8,бензин,КПП автомат,120000,черный,"литые диски, тонировка, панорамная..."
782,Hyundai Santa Fe,Hyundai,Santa Fe,2023,21000000,Б/у,кроссовер,3.5,бензин,КПП автомат,17000,белый,"панорамная крыша, кожа, климат-контро..."
783,Hyundai Getz,Hyundai,Getz,2007,3350000,Б/у,хэтчбек,1.4,бензин,КПП автомат,150000,синий,"литые диски, тонировка, люк, дневные х..."
784,Hyundai Accent,Hyundai,Accent,2013,5200000,Б/у,седан,1.6,бензин,КПП автомат,2000,белый,"металлик, тонировка, ксенон, хрустальная о..."
785,Volkswagen Polo,Volkswagen,Polo,2017,5200000,Б/у,седан,1.6,бензин,КПП механика,72000,серебристый,"литые диски, тонировка, дневные хо..."
787,Genesis GV70,Genesis,GV70,2021,24000000,Б/у,кроссовер,3.5,бензин,КПП автомат,55000,белый,"литые диски, тонировка, люк, панорамн..."
788,Kia Cerato,Kia,Cerato,2014,5500000,Б/у,седан,1.6,бензин,КПП автомат,286000,белый,"металлик, литые диски, тонировка, ветров..."
790,Audi A6,Audi,A6,1996,3900000,Б/у,седан,2.8,бензин,КПП автомат,381000,коричневый,"металлик, литые диски, тонировка, л..."
792,Nissan Patrol,Nissan,Patrol,2013,14500000,Б/у,внедорожник,5.6,бензин,КПП автомат,186000,черный,"металлик, литые диски, тонировка,..."
793,Toyota Land Cruiser,Toyota,Land Cruiser,2008,13800000,Б/у,внедорожник,4.5,дизель,КПП автомат,260000,черный,"тонировка, ветровики, противотума..."
794,ВАЗ (Lada) Granta 2191,ВАЗ,(Lada) Granta 2191,2023,5200000,Б/у,лифтбек,1.6,бензин,КПП механика,29000,белый,"металлик, литые диски, дневные ходовые..."
795,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2012,14900000,Б/у,внедорожник,2.7,бензин,КПП автомат,210,белый,"металлик, литые диски, тонировка, линз..."
798,Lexus LX 470,Lexus,LX 470,2007,14500000,Б/у,внедорожник,4.7,бензин,КПП автомат,350000,белый,"литые диски, тонировка, люк, обвес..."
799,Honda CR-V,Honda,CR-V,2014,8500000,Б/у,кроссовер,2.4,бензин,КПП автомат,185000,серый,"металлик, ветровики, ксенон, коррект..."
802,Daewoo Nexia,Daewoo,Nexia,2007,1300000,Б/у,седан,1.6,бензин,КПП механика,205000,золотистый,"металлик, тонировка, багажник, лин..."
803,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2010,13700000,Б/у,внедорожник,2.7,бензин,КПП автомат,185452,серебристый,"металлик, тонировка, кенгуря..."
804,Mitsubishi Outlander,Mitsubishi,Outlander,2013,8000000,Б/у,кроссовер,2.4,бензин,КПП вариатор,150000,серый,"литые диски, тонировка, рейлинги, п..."
807,ВАЗ (Lada) 2111,ВАЗ,(Lada) 2111,2007,1600000,Б/у,универсал,1.6,бензин,КПП механика,390000,черный,"тонировка, ветровики, противотуман..."
808,Subaru Forester,Subaru,Forester,2009,6800000,Б/у,кроссовер,2.5,бензин,КПП автомат,161000,черный,"литые диски, тонировка, люк, панора..."
813,Hyundai Santa Fe,Hyundai,Santa Fe,2014,10300000,Б/у,кроссовер,2.4,бензин,КПП автомат,86000,синий,"литые диски, тонировка, ветровики, ре..."
814,ВАЗ (Lada) Priora 2172,ВАЗ,(Lada) Priora 2172,2013,1500000,Б/у,хэтчбек,1.6,бензин,КПП механика,256000,черный,Ассалаумалекум Машина газ бинзин жас...
817,Ford Focus,Ford,Focus,2008,3600000,Б/у,седан,1.6,бензин,КПП автомат,290000,черный,"металлик, литые диски, тонировка, спойл..."
818,Toyota Camry,Toyota,Camry,2007,6200000,Б/у,седан,3.5,бензин,КПП автомат,310000,черный,"литые диски, тонировка, ветровики, ксен..."
819,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2012,1900000,Б/у,седан,1.6,бензин,КПП механика,273000,серебристый,"Двигатель 16 клап, кондиционер, п..."
820,Mercedes-Benz S 320,Mercedes-Benz,S 320,1995,3000000,Б/у,седан,3.2,бензин,КПП автомат,339509,синий,"металлик, литые диски, тонировка, багажн..."
821,Hyundai Sonata,Hyundai,Sonata,2022,12770000,Б/у,седан,2.5,бензин,КПП автомат,85000,черный,"кожа, шторки, климат-контроль, Дилерская"
822,Toyota Camry,Toyota,Camry,2002,5000000,Б/у,седан,2.4,бензин,КПП автомат,350544,серый,"литые диски, велюр, кондиционер, Жагдайы..."
824,Nissan Armada,Nissan,Armada,2003,9300000,Б/у,внедорожник,5.6,бензин,КПП автомат,186000,черный,"металлик, литые диски, тонировка,..."
826,Peugeot 307,Peugeot,307,2006,1600000,Б/у,седан,1.6,бензин,КПП механика,250000,оранжевый,"кондиционер, Продам Peugeot 307, оч..."
828,Mercedes-Benz E 220,Mercedes-Benz,E 220,1993,2300000,Б/у,седан,2.2,бензин,КПП автомат,187579,серебристый,"металлик, литые диски, тонировка,..."
830,Hyundai Elantra,Hyundai,Elantra,2003,1950000,Б/у,седан,1.6,бензин,КПП механика,318000,кондиционер,"Хюндай элантра 2003г Обьем 1, 6 Г..."
834,ВАЗ (Lada) 2109,ВАЗ,(Lada) 2109,1998,680000,Б/у,хэтчбек,1.5,бензин,КПП механика,286783,серый,"тонировка, аудиосистема, bluetooth, Д..."
836,Nissan Qashqai,Nissan,Qashqai,2013,5700000,Б/у,кроссовер,1.6,бензин,КПП вариатор,135000,велюр,"климат-контроль, Продам Nissan QASH..."
837,Nissan Murano,Nissan,Murano,2017,12500000,Б/у,кроссовер,3.5,бензин,КПП вариатор,163000,оранжевый,"металлик, литые диски, тонировк..."
838,Mercedes-Benz G 63 AMG,Mercedes-Benz,G 63 AMG,2015,39500000,Б/у,внедорожник,5.5,бензин,КПП автомат,55831,черный,"Машина в 100% родной краске, даже..."
840,Toyota Fortuner,Toyota,Fortuner,2015,13500000,Б/у,внедорожник,2.7,бензин,КПП автомат,114000,белый,Машина в отличном состоянии для св...
841,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2018,4100000,Б/у,седан,1.6,бензин,КПП автомат,149000,черный,"тонировка, обогрев зеркал, аудиосистема..."
845,Toyota Land Cruiser,Toyota,Land Cruiser,2012,26500000,Б/у,внедорожник,4.6,бензин,КПП автомат,175000,черный,"металлик, литые диски, тонировка,..."
846,Mercedes-Benz E 350,Mercedes-Benz,E 350,2009,9250000,Б/у,седан,3.5,бензин,КПП автомат,210000,черный,"металлик, литые диски, тонировка, люк,..."
847,Nissan Primera,Nissan,Primera,1994,730000,Б/у,лифтбек,1.6,бензин,КПП механика,389750,серый,"металлик, литые диски, CD, ГУР, ABS,..."
855,ВАЗ (Lada) Vesta,ВАЗ,(Lada) Vesta,2020,5500000,Б/у,седан,1.6,бензин,КПП вариатор,129000,коричневый,"литые диски, хрустальная оптика, д..."
857,Mercedes-Benz CLA 200,Mercedes-Benz,CLA 200,2020,18950000,Б/у,седан,1.3,бензин,КПП робот,25000,серый,"металлик, Что можно сказать — новая машина,..."
860,Mercedes-Benz S 500,Mercedes-Benz,S 500,2008,9000000,Б/у,седан,5.5,бензин,КПП автомат,180000,серый,"металлик, литые диски, тонировка, люк, к..."
862,Toyota Camry,Toyota,Camry,2007,6600000,Б/у,седан,2.4,бензин,КПП автомат,222222,серебристый,"металлик, литые диски, тонировка,..."
863,Volkswagen Touareg,Volkswagen,Touareg,2011,12000000,Б/у,кроссовер,3.6,бензин,КПП автомат,250000,черный,"металлик, литые диски, тонировка, р..."
864,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2011,1350000,Б/у,хэтчбек,1.6,бензин,КПП механика,122000,серебристый,"литые диски, велюр, аудиосистем..."
865,Lexus LX 570,Lexus,LX 570,2008,17950000,Б/у,внедорожник,5.7,бензин,КПП автомат,250000,белый,"металлик, литые диски, тонировка,..."
866,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2014,2700000,Б/у,седан,1.6,бензин,КПП механика,220000,металлик,"литые диски, тонировка, хрустальная..."
869,Infiniti M37,Infiniti,M37,2012,7350000,Б/у,седан,3.7,бензин,КПП автомат,200000,черный,"металлик, литые диски, тонировка, люк,..."
872,Toyota Camry,Toyota,Camry,2016,9100000,Б/у,седан,2.5,бензин,КПП автомат,172311,вишня,"металлик, литые диски, тонировка, люк, в..."
873,Kia K5,Kia,K5,2023,16000000,Б/у,седан,1.6,бензин,КПП автомат,19425,черный,"металлик, литые диски, тонировка, багажн..."
874,Mitsubishi Lancer,Mitsubishi,Lancer,2007,3800000,Б/у,седан,1.8,бензин,КПП автомат,270000,белый,Митсубиси лансер в идеальном состоянии!...
875,Chrysler 300C,Chrysler,300C,2005,4200000,Б/у,седан,2.7,бензин,КПП автомат,215,зеленый,"велюр, ГУР, SRS, сигнализация, автозапуск,..."
877,Kia Sportage,Kia,Sportage,2024,15600000,Б/у,кроссовер,2.5,бензин,КПП автомат,9000,белый,"литые диски, тонировка, панорамная кры..."
881,Kia Optima,Kia,Optima,2017,8800000,Б/у,седан,2.4,бензин,КПП автомат,120600,белый,"металлик, литые диски, тонировка, ветров..."
885,Infiniti FX35,Infiniti,FX35,2007,8100000,Б/у,кроссовер,3.5,бензин,КПП автомат,236000,белый,"литые диски, тонировка, люк, ветрови..."
889,ВАЗ (Lada) Vesta,ВАЗ,(Lada) Vesta,2018,4500000,Б/у,седан,1.6,бензин,КПП механика,125000,белый,"литые диски, тонировка, велюр, аудиосис..."
892,ВАЗ (Lada) Largus,ВАЗ,(Lada) Largus,2013,3200000,Б/у,универсал,1.6,бензин,КПП механика,315035,белый,"тонировка, противотуманки, корректо..."
893,JAC Sunray,JAC,Sunray,2021,10000000,Б/у,микроавтобус,2.7,дизель,КПП механика,87000,белый,Продается микроавтобус в отличном...
895,Audi 100,Audi,100,1992,2400000,Б/у,седан,2.3,бензин,КПП механика,777,серебристый,"металлик, тонировка, люк, линзованная..."
896,Toyota RAV4,Toyota,RAV4,2021,21000000,Б/у,кроссовер,2.5,бензин,КПП автомат,53000,серебристый,"металлик, литые диски, тонировк..."
897,Toyota Camry,Toyota,Camry,2018,9990000,Б/у,седан,2.5,бензин,КПП автомат,104000,белый,"кожа, кондиционер, Растаможка жасалган...."
900,Mitsubishi Pajero,Mitsubishi,Pajero,2003,7800000,Б/у,внедорожник,3.8,бензин,КПП автомат,312000,серебристый,"металлик, литые диски, тонир..."
902,Toyota Land Cruiser,Toyota,Land Cruiser,2017,37000000,Б/у,внедорожник,4.6,бензин,КПП автомат,145000,белый,"металлик, литые диски, тонировка,..."
912,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2014,3950000,Б/у,седан,1.6,бензин,КПП механика,178000,белый,"металлик, Радной краска 100% Матор коро..."
913,Toyota Camry,Toyota,Camry,2018,14000000,Б/у,седан,2.5,бензин,КПП автомат,110000,белый,"металлик, тонировка, ксенон, линзованная..."
914,Lexus LX 570,Lexus,LX 570,2016,42000000,Б/у,внедорожник,5.7,бензин,КПП автомат,135000,черный,"металлик, литые диски, тонировка,..."
915,Hyundai Palisade,Hyundai,Palisade,2020,21500000,Б/у,кроссовер,3.8,бензин,КПП автомат,54000,белый,"металлик, литые диски, тонировка, пан..."
917,BMW 523,BMW,523,1998,2200000,Б/у,седан,2.5,бензин,КПП механика,2222,синий,"литые диски, тонировка, люк, обвес, велюр..."
918,Toyota Highlander,Toyota,Highlander,2010,14000000,Б/у,кроссовер,3.5,бензин,КПП автомат,190000,черный,"металлик, литые диски, тонировка, к..."
921,Lexus RX 350,Lexus,RX 350,2020,23000000,Б/у,кроссовер,3.5,бензин,КПП автомат,60000,черный,"металлик, литые диски, тонировка, лю..."
923,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2024,49000000,Б/у,внедорожник,2.4,бензин,КПП автомат,4000,литые диски,"тонировка, ветровики, рейлинги..."
924,Mercedes-Benz E 320,Mercedes-Benz,E 320,2006,10200000,Б/у,седан,3.2,бензин,КПП автомат,71000,белый,"металлик, Машина с Японии. Коллекционное..."
925,Subaru Outback,Subaru,Outback,2011,7400000,Б/у,универсал,2.5,бензин,КПП вариатор,223000,серый,"литые диски, тонировка, ветровики,..."
928,ВАЗ (Lada) Largus Cross,ВАЗ,(Lada) Largus Cross,2021,7300000,Б/у,универсал,1.6,бензин,КПП механика,70000,белый,Состояние идеал! Был в одних руках!...
931,Renault Sandero Stepway,Renault,Sandero Stepway,2015,5300000,Б/у,хэтчбек,1.6,бензин,КПП автомат,186000,серый,"металлик, климат-контроль"
932,BMW 750,BMW,750,2011,9500000,Б/у,седан,4.4,бензин,КПП автомат,104000,черный,"тонировка, люк, биксенон, кожа, аудиоси..."
935,Lexus GX 470,Lexus,GX 470,2004,9150000,Б/у,внедорожник,4.7,бензин,КПП автомат,260000,белый,"металлик, литые диски, тонировка,..."
940,FAW Besturn B50,FAW,Besturn B50,2013,2199999,Б/у,седан,1.6,бензин,КПП механика,280000,белый,"литые диски, багажник, дневные ходовые..."
944,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2016,17700000,Б/у,внедорожник,2.7,бензин,КПП автомат,240000,белый,"литые диски, велюр, кондиционер, К..."
946,Ford Kuga,Ford,Kuga,2015,7900000,Б/у,кроссовер,1.6,бензин,КПП автомат,166000,белый,"литые диски, тонировка, рейлинги, ба..."
947,Mercedes-Benz S 350,Mercedes-Benz,S 350,2006,10700000,Б/у,седан,3.5,бензин,КПП автомат,126000,серый,"металлик, литые диски, тонировка, люк, п..."
950,Chevrolet Cobalt,Chevrolet,Cobalt,2020,5500000,Б/у,седан,1.5,бензин,КПП автомат,170000,черный,"металлик, тонировка, велюр, CD, MP3, ГУ..."
954,Dodge RAM,Dodge,RAM,2023,80000000,Б/у,пикап,6.2,бензин,КПП автомат,14000,жёлтый,"металлик, литые диски, тонировка, люк, п..."
956,ГАЗ ГАЗель,ГАЗ,ГАЗель,2004,5500000,Б/у,пикап,2.9,бензин,КПП механика,222000,жёлтый,Продается Газель 4.20 в хорошем состоя...
959,Toyota Camry,Toyota,Camry,2023,18500000,Б/у,седан,2.5,бензин,КПП автомат,21000,черный,"металлик, литые диски, тонировка, кожа,..."
960,Jetour X70,Jetour,X70,2023,9950000,Б/у,кроссовер,1.5,бензин,КПП механика,32200,белый,"литые диски, тонировка, панорамная к..."
